Entity,bins
a government,Bin 4 (Lowest)
"a grandfather, Sir Pelham Warren",Bin 1 (Highest)
a grave threat to international peace,Bin 3
a great deal of money,Bin 3
a group of Tibetans,Bin 2
a grueling march across the Mojave and Sonoran Deserts,Bin 1 (Highest)
"a guitar player and singer in Peoria, Illinois",Bin 1 (Highest)
a gun,Bin 4 (Lowest)
a halt,Bin 3
a hero in the eyes of many post-War Italian fascists,Bin 1 (Highest)
a hilly plateau between the Tonle San and Tonle Srepok rivers,Bin 1 (Highest)
"a historic, epic change in the political dynamics of the country",Bin 1 (Highest)
a holiday retreat,Bin 3
a house,Bin 4 (Lowest)
"a houseplant given sufficient temperature, soil moisture and humidity",Bin 1 (Highest)
a hype man in live concerts,Bin 1 (Highest)
a jam,Bin 3
a job,Bin 4 (Lowest)
a large-scale fight,Bin 2
a late update,Bin 3
a lot of individuals,Bin 2
a luciferase assay,Bin 1 (Highest)
a luncheon meeting Tuesday of Democratic senators,Bin 1 (Highest)
a major jazz festival,Bin 3
a majority,Bin 4 (Lowest)
a majority of South Koreans,Bin 2
a man and woman,Bin 2
a man capable of being dangerous,Bin 1 (Highest)
"a mathematician, who later become an associate professor at the faculty of Engineering of the Sapienza University of Rome",Bin 1 (Highest)
a matter of weeks,Bin 3
a mechanical desk,Bin 2
a meeting,Bin 4 (Lowest)
a member of a samurai retainer family of the Tokugawa clan,Bin 1 (Highest)
a member of the Asian Network for Free Elections (ANFREL),Bin 1 (Highest)
a menu that can be navigated using an Xbox joypad or DVD remote,Bin 1 (Highest)
a military official,Bin 3
a minority share,Bin 3
a moderate pace,Bin 3
a modest banker,Bin 2
a modest wedding breakfast,Bin 2
"a momentum for radical change that becomes difficult, if not impossible, to control",Bin 1 (Highest)
a month,Bin 3
a months-long standoff,Bin 1 (Highest)
a motorcycle track,Bin 2
a narrowing of interest rate differentials between the U.S. and West Germany,Bin 1 (Highest)
a new agreement,Bin 4 (Lowest)
"a new black alternate with a Pirates' ""P",Bin 1 (Highest)
a new factory run by German carmaker Volkswagen in the town of Kaluga,Bin 1 (Highest)
a new large-scale fertilizer factory in Chongqing,Bin 1 (Highest)
a new phase,Bin 4 (Lowest)
"a newfound respect for Black Bolt, as well as an unexpected degree of interest",Bin 1 (Highest)
a news conference on Saturday,Bin 2
a nice big check,Bin 2
a noble in the States-General,Bin 2
a normal pregnancy,Bin 3
a nuclear bomb,Bin 3
a number of clashes,Bin 2
a number of reservations,Bin 2
a one-year exclusivity deal,Bin 1 (Highest)
a pact,Bin 4 (Lowest)
"a parish church in the Church of England in Willoughby on the Wolds, Nottinghamshire, England",Bin 1 (Highest)
a parking lot of the prison,Bin 2
a part,Bin 4 (Lowest)
a part of the Yugoslavia national team,Bin 2
a party,Bin 4 (Lowest)
a passport or permanent residency which would allow them to play with Israeli status,Bin 1 (Highest)
a payer of alimony (who,Bin 1 (Highest)
a peace treaty,Bin 4 (Lowest)
a penalty corner,Bin 3
a period in which the Taliban was gaining strength,Bin 1 (Highest)
a permanent colour on your relaxed hair,Bin 1 (Highest)
a place,Bin 4 (Lowest)
a plan,Bin 4 (Lowest)
"a play on words referring to Manchester City's fan anthem, Blue Moon",Bin 1 (Highest)
a poignant reminder of what might have been,Bin 1 (Highest)
a polarizing figure,Bin 2
a police officer,Bin 4 (Lowest)
a popular hit,Bin 3
a popular referendum,Bin 3
a power-sharing administration,Bin 2
a powerful staff,Bin 3
a pragmatic decision,Bin 1 (Highest)
a pre-dawn attack,Bin 3
a press campaign against the importation of Canadian rapeseed oil,Bin 1 (Highest)
a press conference,Bin 4 (Lowest)
a press conference after Hau's announcement,Bin 1 (Highest)
a press conference held by the Information Office of the State Council,Bin 1 (Highest)
a previous hearing,Bin 3
a princess of Brunswick-Wolfenbuttel,Bin 1 (Highest)
a problem,Bin 3
a prominent figure in contemporary critical theory,Bin 2
a protected national monument,Bin 2
a punch,Bin 4 (Lowest)
a question,Bin 4 (Lowest)
"a quintessential Vogue portrait, taken by one of our most important photographers and styled by one of our important editors",Bin 1 (Highest)
a rail station in the western city of Cologne,Bin 1 (Highest)
a railway station - Baarn railway station,Bin 1 (Highest)
"a railway station located on the Norway-Sweden border at Riksgransen, one kilometer into Sweden",Bin 1 (Highest)
a range of recipes,Bin 3
"a reader presenting the ideas, platforms and creeds of people and groups that Sargent calls left-wing or right-wing American extremists in their own words",Bin 1 (Highest)
a rejection of revelation and miracles,Bin 1 (Highest)
a remarkable experience,Bin 3
a replacement,Bin 4 (Lowest)
a report,Bin 4 (Lowest)
a report by McChrystal,Bin 1 (Highest)
a result,Bin 4 (Lowest)
a result of your ultimatum,Bin 1 (Highest)
a revival,Bin 4 (Lowest)
a road,Bin 4 (Lowest)
a roadside bomb,Bin 3
a rope-you just need,Bin 1 (Highest)
a roundabout dog,Bin 2
a ruling,Bin 4 (Lowest)
a scandal involving false representations of progress of the construction of three properties in the Jumeirah Lake Towers development,Bin 1 (Highest)
a scholarship at Iona College,Bin 2
a scientist,Bin 3
a screenplay written by Steve Tesich,Bin 1 (Highest)
a search for another school,Bin 2
a self-proclaimed president who owes his office to anticonstitutional and illegal electoral manipulation engineered by the electoral board and ruling party,Bin 1 (Highest)
a series of concrete measures and key points of policy,Bin 1 (Highest)
a series of energy crises,Bin 2
"a series of measures recently to combat the flu, including screening suspect passengers",Bin 1 (Highest)
a series of workshops across ASEAN,Bin 1 (Highest)
a set,Bin 4 (Lowest)
a severe systemic inflammatory response,Bin 2
a sharper rise,Bin 2
a shot,Bin 4 (Lowest)
a show,Bin 4 (Lowest)
a silver medal,Bin 4 (Lowest)
a similar call,Bin 3
a similar restructuring plan,Bin 3
a single accelerator,Bin 2
a single weekend,Bin 3
a single-A-minus rating,Bin 2
a six-member Presidency,Bin 2
a sizable aid operation,Bin 2
a sketchy education,Bin 2
a slow sales,Bin 2
a small bell turret,Bin 2
a small island,Bin 3
a small portion of northern Denton County,Bin 1 (Highest)
"a so-called arrival of the wolves, which is also the arrival of powerful competitors, right",Bin 1 (Highest)
a special deal protecting his state against the costs of expanding Medicaid under one of the major health care bills moving through Congress,Bin 1 (Highest)
a species of praying mantis found in Algeria,Bin 1 (Highest)
a spot,Bin 4 (Lowest)
"a spread, or a filling in a lemon meringue pie",Bin 1 (Highest)
a state visit,Bin 3
a statement,Bin 4 (Lowest)
a step,Bin 4 (Lowest)
a stop in downtown Calgary,Bin 2
a story,Bin 4 (Lowest)
a story in the public domain,Bin 2
a straw to save his life,Bin 2
a strong Even influence,Bin 2
a strong global economy,Bin 3
a subjective factor,Bin 3
a support party,Bin 3
a surf-ski,Bin 2
a team that looked carefully at the issue,Bin 1 (Highest)
a tehsil,Bin 3
a telephone interview,Bin 3
a three-game suspension,Bin 3
a three-way summit with Netanyahu and Palestinian leader Mahmud Abbas,Bin 1 (Highest)
a titanic struggle,Bin 3
a ton of polo shirts,Bin 2
a top regulator,Bin 2
a tough stance taken by Prime Minister Neville Chamberlain and a firm declaration,Bin 1 (Highest)
a tourism economy,Bin 2
a tragic necessity,Bin 2
a transfusion of contaminated blood,Bin 1 (Highest)
a treaty,Bin 3
a tremendous indignation from Iran and its allies in the Arab region,Bin 1 (Highest)
a trending topic on Twitter,Bin 1 (Highest)
"a triple flip, double toeloop attempt",Bin 1 (Highest)
"a twin sister, the chaste huntress Artemis",Bin 1 (Highest)
a two-day forum,Bin 3
a typical example,Bin 4 (Lowest)
a unique approach,Bin 3
"a variety of weapons, outdoor survival skills",Bin 1 (Highest)
"a vaudeville turn in the strip-tease number ""Bathing Beauty",Bin 1 (Highest)
a very close match for the odd-footed enantiornithine bird,Bin 1 (Highest)
a very special room,Bin 2
a very very bad thing,Bin 2
a vibrant city,Bin 2
a vice chairman of the parent company and the unit,Bin 1 (Highest)
a view,Bin 4 (Lowest)
a village and municipality in the Lerik Rayon of Azerbaijan,Bin 1 (Highest)
a village town in the neighbouring district of Dindigul called Vada Madurai,Bin 1 (Highest)
a visit to China,Bin 2
a vocal critic of the South African apartheid regime,Bin 2
a way,Bin 4 (Lowest)
a way of looking to the future but not when it is used as an easy way out,Bin 1 (Highest)
a whole new level,Bin 3
a wide variety of vehicles with which to battle his enemies,Bin 1 (Highest)
a wire basket,Bin 2
a year and a half,Bin 3
a young bloke,Bin 2
a youth camp in Little Rock,Bin 2
about five months,Bin 3
abusive behavior,Bin 3
academia,Bin 3
ad rates,Bin 2
addition,Bin 4 (Lowest)
addition to South Carolina,Bin 3
addition to his solo work,Bin 2
additional austerity measures,Bin 1 (Highest)
additional funds,Bin 4 (Lowest)
additional investors,Bin 3
adoring fans,Bin 1 (Highest)
adult film viewers,Bin 3
advancing ones on the broad market,Bin 1 (Highest)
advocacy groups,Bin 3
affairs,Bin 4 (Lowest)
agencies on a credential system for BP cleanup contractors,Bin 1 (Highest)
ah ah who were sent abroad,Bin 1 (Highest)
aim,Bin 4 (Lowest)
all citizens,Bin 3
all kinds of housing structures,Bin 2
all kinds of junk,Bin 2
all of their audio player technology,Bin 1 (Highest)
all the water,Bin 4 (Lowest)
all these issues,Bin 3
"almost every major genre, including symphony, opera, the solo concerto, chamber music including string quartet and string quintet, and the piano sonata",Bin 1 (Highest)
am the German Schutzpolizei,Bin 1 (Highest)
"ambassador Longbin Tang reviewed the stably developing political and economic situations in China last year, and extended gratitude to the overseas Chinese and foreign citizens of Chinese origin for their warm support for China's construction undertaking, and for contributions",Bin 1 (Highest)
ambiguities,Bin 1 (Highest)
amnesty,Bin 4 (Lowest)
"an ""abuse of protectionism",Bin 1 (Highest)
an A section,Bin 3
an Aguero header,Bin 1 (Highest)
an American landscape painter and author of illustrated works of cultural history and folklore,Bin 1 (Highest)
"an American poet, an active proponent of the Confederate States of America, and a Roman Catholic priest",Bin 1 (Highest)
an American sculptor who studied with Auguste Rodin and Frederick William MacMonnies,Bin 1 (Highest)
an East German border town,Bin 2
an English Bishop Henry of Uppsala,Bin 1 (Highest)
an English football player and manager,Bin 1 (Highest)
"an English mathematician, now remembered mostly for his books, some of which broke new ground in their coverage in English of topics from mathematical analysis",Bin 1 (Highest)
an Episcopium,Bin 1 (Highest)
"an Italian actor of the cinema, theatre and television",Bin 1 (Highest)
"an Italian missionary of the Salesians of Don Bosco order as well as a passionate mountaineer, explorer, geographer, ethnographer, photographer and cinematographer",Bin 1 (Highest)
an activist known most notably as the founder of a number of international campaign groups,Bin 1 (Highest)
an actor in Melbourne,Bin 2
an afternoon crowd in Bowling Green,Bin 1 (Highest)
an agreement,Bin 4 (Lowest)
an aide to Egyptian President Mubarak,Bin 1 (Highest)
an ailing soprano,Bin 2
an air raid warden,Bin 3
an all-out effort,Bin 3
an alternative school educator,Bin 2
an analogous event,Bin 2
an angel of the presence,Bin 2
an ant,Bin 3
an anti-terrorist officer,Bin 2
an archaeological site of the Indus Valley Civilization,Bin 2
an assessor,Bin 2
an attempt,Bin 4 (Lowest)
an attempt at psychological intimidation,Bin 2
an effort to dress up results--and perhaps bolster performance-related bonuses,Bin 1 (Highest)
an entirely new type of television drama-contemporary realism,Bin 1 (Highest)
an era of shrinking Pentagon budgets,Bin 1 (Highest)
an exhibition game in the Panama capital,Bin 1 (Highest)
an experimental car which runs on coffee,Bin 1 (Highest)
an expert to help FAZ review its constitution,Bin 1 (Highest)
an independent private bank,Bin 3
an inducement,Bin 2
an internal probe,Bin 2
an international tour of The Hollow Crown,Bin 2
an interview,Bin 3
an interview published Monday,Bin 2
an invitation to visit Cairo from Egyptian President Hosni Mubarak,Bin 1 (Highest)
an occasional game of tennis or the like,Bin 1 (Highest)
an oily endosperm and usually with a black or brown phytomelanous testa,Bin 1 (Highest)
an opportunity for business,Bin 2
an opportunity for investors,Bin 3
an ultimatum by Napoleon,Bin 3
an unincorporated census-designated place in Door County,Bin 1 (Highest)
an unincorporated community in Pittsylvania County,Bin 1 (Highest)
an unstable talus slope,Bin 1 (Highest)
analyst,Bin 4 (Lowest)
analysts,Bin 4 (Lowest)
anniversary,Bin 4 (Lowest)
another aircraft,Bin 3
another of his colleagues,Bin 2
another site on the east coast,Bin 2
another theory,Bin 3
anti-abortion groups,Bin 3
any attempt,Bin 4 (Lowest)
any constitutional restrictions,Bin 2
any cuts,Bin 4 (Lowest)
any deal with Al-Qaeda,Bin 2
any given time using the Contact Us form at the bottom of every page,Bin 1 (Highest)
any particular player,Bin 3
any pressure from the ECB or European countries for Portugal to accept aid,Bin 1 (Highest)
any similar facility across this land,Bin 1 (Highest)
any threat,Bin 4 (Lowest)
anyone,Bin 4 (Lowest)
anyone in cyberville,Bin 2
anything,Bin 4 (Lowest)
approval,Bin 4 (Lowest)
approval of the natural gas chemical industry project,Bin 1 (Highest)
areas,Bin 4 (Lowest)
areas farther south ahead of the drills,Bin 1 (Highest)
article uh,Bin 2
as many as one hundred stores,Bin 2
at least three weeks,Bin 3
attack,Bin 4 (Lowest)
baby gates,Bin 3
bad outcomes,Bin 3
bad weather,Bin 3
bankruptcy protection,Bin 4 (Lowest)
bars at night,Bin 2
basic life processes,Bin 3
basketball and baseball,Bin 3
battle,Bin 4 (Lowest)
bilateral trade,Bin 3
biology,Bin 4 (Lowest)
bishop of the Pergamon,Bin 1 (Highest)
black short shorts,Bin 2
blank expressions,Bin 2
blood volume,Bin 3
borough president,Bin 3
borrowing and economic growth,Bin 2
both Germany defender Philipp Lahm and Luca Toni,Bin 1 (Highest)
both celebrities and ordinary people,Bin 2
both sides,Bin 4 (Lowest)
both the Pentagon and the Justice Department today,Bin 2
boycott one company,Bin 2
break points,Bin 3
breast,Bin 4 (Lowest)
broad Israeli public support,Bin 2
broad improvement,Bin 3
business data,Bin 3
businessmen,Bin 3
cables,Bin 4 (Lowest)
calls,Bin 4 (Lowest)
calm investors,Bin 3
canon law,Bin 4 (Lowest)
carinal canals,Bin 2
"cartoon characters, such as Walt Disney's Donald Duck, and Warner Bros.' Daffy Duck",Bin 1 (Highest)
cash,Bin 4 (Lowest)
center and power,Bin 2
"central New Mexico, Arizona and southern California",Bin 2
ceramics,Bin 4 (Lowest)
ceremonies around the world,Bin 2
chairman,Bin 4 (Lowest)
chancellor of Sharif University of Technology,Bin 2
chef de mission Craig Hunter,Bin 1 (Highest)
childhood friends,Bin 3
chlorine,Bin 2
chlorine gas,Bin 1 (Highest)
cigarette and joke,Bin 2
cinema,Bin 4 (Lowest)
citizens living overseas,Bin 2
clades,Bin 3
class the next day,Bin 2
classical physics,Bin 4 (Lowest)
classics,Bin 3
clear and regular signs of hiring,Bin 1 (Highest)
clear blue eyes,Bin 3
clusters of ovaries,Bin 1 (Highest)
co-director Ron Clements,Bin 1 (Highest)
coalition troops,Bin 3
color,Bin 4 (Lowest)
colour,Bin 4 (Lowest)
comment,Bin 4 (Lowest)
commodity prices,Bin 3
communal forces,Bin 3
companies,Bin 4 (Lowest)
companies that caused the economic meltdown,Bin 1 (Highest)
company receptions,Bin 2
completion of the program,Bin 3
composers of the Ars subtilior,Bin 1 (Highest)
"comprehensive and in-depth recommendations, due to the extremely complicated nature of the situation in Iraq, the report",Bin 1 (Highest)
concerns,Bin 4 (Lowest)
concrete reinforced with steel rebar,Bin 1 (Highest)
confidence,Bin 4 (Lowest)
conjunction with a Blue Alliance board meeting,Bin 1 (Highest)
connections to the Bee-Line System in White Plains and Port Chester,Bin 1 (Highest)
"consensus ""status, a player",Bin 1 (Highest)
consequences for the company,Bin 3
construction firms,Bin 3
consultations,Bin 4 (Lowest)
consumers,Bin 4 (Lowest)
contact,Bin 4 (Lowest)
contemporary composers,Bin 3
continued dialogue across the Taiwan Strait,Bin 2
controversy,Bin 4 (Lowest)
conventional chips,Bin 2
cooperation from Yemen,Bin 2
coroner's officials,Bin 2
corruption,Bin 4 (Lowest)
countries,Bin 4 (Lowest)
country people,Bin 3
course,Bin 4 (Lowest)
court on Tuesday,Bin 2
courtesy of a two-run eighth inning,Bin 1 (Highest)
coverage of Sunday's services,Bin 2
critical acclaim,Bin 4 (Lowest)
criticism,Bin 4 (Lowest)
criticism of drama,Bin 2
cross variant,Bin 2
custom medical devices,Bin 3
cyclohexane,Bin 1 (Highest)
data and cost estimates,Bin 2
date,Bin 4 (Lowest)
dealers,Bin 4 (Lowest)
debate about the origin of the term bug in software engineering,Bin 1 (Highest)
"declines in the stock market and dollar, and a rally in bonds",Bin 1 (Highest)
dedication and perseverance,Bin 2
defects,Bin 4 (Lowest)
defoliants,Bin 1 (Highest)
degree from the Norwegian,Bin 2
delays for months,Bin 2
delete' operator,Bin 2
demands for easier visa rules,Bin 1 (Highest)
department stores,Bin 3
descent,Bin 4 (Lowest)
deserved victories,Bin 2
detention,Bin 4 (Lowest)
development and peace,Bin 3
development in Asia,Bin 3
different operations against us,Bin 1 (Highest)
difficult choices,Bin 3
"diffusion of oxygen, carbon dioxide, and other metabolites",Bin 1 (Highest)
direct entry,Bin 3
director,Bin 4 (Lowest)
director of the National Economic Council Lawrence H. Summers,Bin 1 (Highest)
disable candidates,Bin 2
disasters,Bin 4 (Lowest)
discussions of the Israeli-Palestinian conflict,Bin 2
discussions with U.S. diplomats,Bin 2
discussions with US officials,Bin 2
dispute cases involving foreign investment enterprises accepted by Tianjin,Bin 1 (Highest)
distant third,Bin 3
dive,Bin 4 (Lowest)
domestic and overseas investors' attention,Bin 1 (Highest)
double digits,Bin 3
dozens of Creole-speaking doctors and nurses,Bin 1 (Highest)
drivers,Bin 4 (Lowest)
drugs,Bin 4 (Lowest)
dysfunctional approaches that are intended to help but in fact,Bin 1 (Highest)
each contributor adding to the thread that moves me in a sonambulant noiseless rush toward the truth,Bin 1 (Highest)
"each fat, inflatable form strains against the buildings' walls and windows with playful, even comic authority",Bin 1 (Highest)
each image pixel,Bin 3
each ration,Bin 2
each time a quarterback ranted or raved,Bin 1 (Highest)
earlier this week,Bin 3
early medieval Ireland,Bin 3
eastern Afghanistan,Bin 3
economic aid,Bin 3
economic reforms,Bin 4 (Lowest)
economics,Bin 4 (Lowest)
education of the medium,Bin 2
effect,Bin 4 (Lowest)
efforts,Bin 4 (Lowest)
eight franchises,Bin 3
elaborate outfits,Bin 3
electric power,Bin 4 (Lowest)
electron density,Bin 4 (Lowest)
employee privacy,Bin 3
engineering and medical troops,Bin 2
enough grain in the pipeline,Bin 2
enough time to update its market commentary so,Bin 1 (Highest)
episodes,Bin 4 (Lowest)
equal access,Bin 4 (Lowest)
equipment,Bin 4 (Lowest)
equities markets,Bin 1 (Highest)
equity,Bin 4 (Lowest)
establishment,Bin 4 (Lowest)
estimates by the tobacco industry yesterday,Bin 1 (Highest)
even minor offenses,Bin 2
even the Red Delicious,Bin 2
eventual series champion Dale Jarrett,Bin 2
"every aspect--from the private agencies, from ACS to the courts, from the failure of any state department of oversight",Bin 1 (Highest)
every citizen who had not fled,Bin 2
every one of these companies,Bin 2
every presidential election over the past half century,Bin 2
evidence,Bin 4 (Lowest)
excellent growth,Bin 3
executive chairman of Rothschild International,Bin 2
expectations,Bin 4 (Lowest)
exports to the Soviet Union,Bin 2
extraordinarily high rates of a type of nose-and-throat cancer,Bin 1 (Highest)
fact,Bin 4 (Lowest)
failure,Bin 4 (Lowest)
fall hunting dates,Bin 2
family entertainment,Bin 3
farmers,Bin 4 (Lowest)
farmers of considerable skill,Bin 2
favor of Bob Stanley,Bin 2
favourites,Bin 4 (Lowest)
fears,Bin 4 (Lowest)
federal politics,Bin 3
federal programs,Bin 3
fellow prisoners,Bin 3
few economic policy changes,Bin 2
field of the shield,Bin 2
film soundtracks,Bin 3
financially weaker countries,Bin 3
fire on a passing vehicle,Bin 2
first slip,Bin 3
first-day motions,Bin 2
five innocent civilians including three children and two women,Bin 1 (Highest)
five of them,Bin 3
five officials,Bin 3
"five photos of George Bush, one of them featuring the First Dog, Millie",Bin 1 (Highest)
flags,Bin 4 (Lowest)
flour,Bin 4 (Lowest)
folks,Bin 4 (Lowest)
food,Bin 4 (Lowest)
fools,Bin 4 (Lowest)
football,Bin 4 (Lowest)
forces,Bin 4 (Lowest)
foreign commentators,Bin 3
foreigners,Bin 4 (Lowest)
formerly independent Estonia,Bin 2
forty girls in full kabuki theater makeup and outfits that were a riot of colorblock knits and printed silk culled from every conceivable ethnicity--fabrics taken from the label's four-decade-long archive,Bin 1 (Highest)
fossils of Mesozoic mammals and their immediate ancestors,Bin 1 (Highest)
four locations where the Myitsone Dam is under construction in the country's northernmost Kachin state,Bin 1 (Highest)
four months,Bin 3
four schools,Bin 3
four years of little success,Bin 2
fourth place,Bin 4 (Lowest)
franchisers,Bin 3
friction,Bin 4 (Lowest)
friendly territory,Bin 2
front of Odin,Bin 2
full understanding of the necessity for a harsh but just vengeance,Bin 1 (Highest)
fundamentalist extremists such as Warren Jeffs and Dan Lafferty,Bin 1 (Highest)
funding,Bin 4 (Lowest)
funds,Bin 4 (Lowest)
funds for development,Bin 3
furniture,Bin 4 (Lowest)
further control,Bin 3
further economic development,Bin 3
future issues,Bin 3
gainers,Bin 3
gentle tape-looped guitar textures,Bin 1 (Highest)
given potential changes to core market infrastructure,Bin 1 (Highest)
golf gear,Bin 3
good relations,Bin 3
good sleep hygiene,Bin 3
goods,Bin 4 (Lowest)
government official Lee Ming-hsing,Bin 1 (Highest)
great interest,Bin 4 (Lowest)
great losses,Bin 3
gross anatomy and microscopic anatomy,Bin 2
group profit,Bin 2
growing tension with city residents,Bin 2
guiding Derby County,Bin 2
half a world,Bin 2
half the human population,Bin 2
hallucinations,Bin 2
hand,Bin 4 (Lowest)
hands,Bin 4 (Lowest)
hashish,Bin 3
he,Bin 4 (Lowest)
he and his wife,Bin 3
healthy and free elections,Bin 2
heart attack,Bin 4 (Lowest)
heavy blows,Bin 3
helmeted firemen and building inspectors,Bin 1 (Highest)
helos that are flying by or any other ships that are coming in through here,Bin 1 (Highest)
her,Bin 4 (Lowest)
her Olympic exploits,Bin 3
her Section,Bin 3
her absentee ballot,Bin 2
her campaign,Bin 4 (Lowest)
her colleagues,Bin 4 (Lowest)
"her daughter, Joan Irvine Smith",Bin 2
her employer,Bin 3
her exploits,Bin 3
"her father, Dodge, a United States Navy pilot who died in the Vietnam War",Bin 1 (Highest)
her first WTA Tour title,Bin 3
her first episode,Bin 3
her front lawn,Bin 3
her hand,Bin 4 (Lowest)
her maternal grandparents,Bin 3
her record deal,Bin 3
her small trading business,Bin 2
her work,Bin 4 (Lowest)
him,Bin 4 (Lowest)
himself,Bin 4 (Lowest)
his Abitur,Bin 2
his answers,Bin 3
his bags,Bin 4 (Lowest)
his bank,Bin 3
his business,Bin 4 (Lowest)
his cabinet and King Albert II,Bin 2
his capacity as magister militum,Bin 1 (Highest)
his career,Bin 4 (Lowest)
his claims,Bin 4 (Lowest)
his clients,Bin 4 (Lowest)
his condition,Bin 4 (Lowest)
his confession,Bin 4 (Lowest)
his country,Bin 3
his cramped surroundings,Bin 2
his crew,Bin 3
his current deal,Bin 3
his employer,Bin 3
his excellent performance,Bin 3
his eyes,Bin 4 (Lowest)
his first of three books,Bin 2
his first state dinner,Bin 2
his first year,Bin 4 (Lowest)
his future and the future of the country,Bin 2
his hand,Bin 4 (Lowest)
his hand suggesting that he might have been wounded himself during whatever struggle that occurred after these shootings,Bin 1 (Highest)
his hip,Bin 3
his home in Hollis near New York,Bin 2
"his level of remuneration such as ""division leader level",Bin 1 (Highest)
his lieutenant governor,Bin 3
his life,Bin 4 (Lowest)
his lips,Bin 4 (Lowest)
his long career,Bin 4 (Lowest)
"his marriage during a joint television interview with his wife, Hillary",Bin 1 (Highest)
"his mother, Agatha Christie",Bin 2
his music career,Bin 3
his off-spin,Bin 3
"his own band, Rich Kids",Bin 2
his own genre,Bin 3
his own recording company he called Cadence Records,Bin 1 (Highest)
his parents,Bin 4 (Lowest)
his passing,Bin 4 (Lowest)
his permission,Bin 3
his property,Bin 3
his release,Bin 4 (Lowest)
"his replacement as chief coiner, Franklin Peale",Bin 1 (Highest)
his responsibilities,Bin 3
his retirement,Bin 3
his rice and adobo plate,Bin 1 (Highest)
his second wife,Bin 4 (Lowest)
his ship mates,Bin 3
his son Ranald,Bin 2
his spy chief,Bin 2
his superiors,Bin 3
his testimony,Bin 4 (Lowest)
his war,Bin 3
his way,Bin 4 (Lowest)
"his well-known monumental picture, the Arrival of the Hungarians",Bin 1 (Highest)
his wife,Bin 4 (Lowest)
his wife of two years,Bin 2
history,Bin 4 (Lowest)
hockey,Bin 4 (Lowest)
hold,Bin 4 (Lowest)
home,Bin 4 (Lowest)
home-state projects from foreign bases,Bin 1 (Highest)
honors,Bin 4 (Lowest)
hours,Bin 4 (Lowest)
hundreds of people,Bin 3
hung parliament,Bin 3
hyperactive prosecutors,Bin 2
"ideas of Christianity, Russian patriotism, and Slavic unity",Bin 1 (Highest)
"important personalities of Parisian cultural life, including the critics Adolf Basler and Andre Salmon",Bin 1 (Highest)
imprint,Bin 4 (Lowest)
impunity,Bin 1 (Highest)
incident,Bin 4 (Lowest)
incidental items only,Bin 2
increased violence,Bin 3
index arbitrage,Bin 2
indexing,Bin 3
individuals,Bin 4 (Lowest)
industrialist and newspaper proprietor William Martin Murphy,Bin 1 (Highest)
information and convenience,Bin 3
information given to Mr. Laff by another conspirator,Bin 1 (Highest)
initial damages caused by the tropical storm,Bin 1 (Highest)
inmates in more than seven Georgia prisons,Bin 1 (Highest)
inspection,Bin 4 (Lowest)
instance,Bin 3
instances when the Sinhalese kings tried to employ them as mercenaries by renaming a section of the most hardcore fighters as Mahatantra,Bin 1 (Highest)
intercity services,Bin 4 (Lowest)
international debate and action,Bin 3
investor sentiment,Bin 3
investors,Bin 4 (Lowest)
investors holding foreign money,Bin 2
it,Bin 4 (Lowest)
its European works council,Bin 3
its announcement,Bin 3
its audit of GM's Vauxhill unit,Bin 1 (Highest)
its author,Bin 3
its buddy,Bin 2
its chemical formula,Bin 3
its consideration and debate,Bin 2
its deepest political crisis,Bin 3
its effects,Bin 3
its failure,Bin 4 (Lowest)
its fairly clear scale advantage,Bin 1 (Highest)
"its format as a compilation of mostly unissued leftovers from various sessions, and given its rather short running time",Bin 1 (Highest)
its head coach,Bin 3
its headquarters,Bin 4 (Lowest)
its home games,Bin 4 (Lowest)
its human driver,Bin 3
its influence,Bin 4 (Lowest)
its lower operating costs and due to a large loss on securities holdings in the earlier period that came off of its books,Bin 1 (Highest)
its lowest level,Bin 3
its name,Bin 3
its net income,Bin 3
its news bureaus,Bin 3
its own in-house production facilities,Bin 2
its own version of a CARE package,Bin 1 (Highest)
its plants,Bin 3
its political ties,Bin 2
its position,Bin 3
its professional,Bin 3
its second bowling power play,Bin 1 (Highest)
its session,Bin 3
its target,Bin 4 (Lowest)
its two-day loss,Bin 2
its website,Bin 3
itself,Bin 4 (Lowest)
joint commendations,Bin 3
joint events,Bin 3
judges,Bin 4 (Lowest)
judicial restraint,Bin 3
junior high,Bin 3
just a few days,Bin 2
just five minutes,Bin 3
just one State in the USA,Bin 2
justice,Bin 4 (Lowest)
key national laboratories,Bin 2
labelmate Karen Clark-Sheard,Bin 1 (Highest)
lack of cooperation,Bin 3
land,Bin 4 (Lowest)
"land of the outback, a snapshot of Jim Beam",Bin 1 (Highest)
landslides and mudslides,Bin 1 (Highest)
large advanced economies,Bin 2
last month,Bin 3
"last weekend's noisy procession, which saw a convoy of peaceful protesters in cars, trucks and motorbikes snake through the capital's teeming streets",Bin 1 (Highest)
late Monday night,Bin 2
late September,Bin 3
law enforcement authorities,Bin 3
leaf,Bin 4 (Lowest)
leagues,Bin 4 (Lowest)
leaves,Bin 4 (Lowest)
legal opposition parties,Bin 2
less than two hours per day,Bin 2
leveraged technology that enables their staff members to stay in touch as effectively,Bin 1 (Highest)
life in prison,Bin 3
local benefit-seeking matters more and national policy making matters less in the lower chamber of Congress,Bin 1 (Highest)
local figures,Bin 3
love,Bin 4 (Lowest)
